,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP,Common,Crossover,Exotic,Factory Tuner,Hatchback,High-Performance,Hybrid,Luxury,Performance,City Preference,Highway Preference,Vehicle_Title_Partial
3907,Lexus,IS 250 C,2015,gasoline,204,6,AUTOMATIC,RWD,2,Compact,Convertible,30,21,454,43360,False,False,False,False,False,False,False,True,False,False,True,2015 Lexus IS 250 C Convertible
3908,Lexus,IS 250,2013,gasoline,204,6,AUTOMATIC,RWD,4,Midsize,Sedan,30,21,454,35065,False,False,False,False,False,False,False,True,False,False,True,2013 Lexus IS 250 Sedan
3910,Lexus,IS 250,2014,gasoline,204,6,AUTOMATIC,RWD,4,Midsize,Sedan,30,21,454,36100,False,False,False,False,False,False,False,True,False,False,True,2014 Lexus IS 250 Sedan
3912,Lexus,IS 250,2015,gasoline,204,6,AUTOMATIC,RWD,4,Midsize,Sedan,30,21,454,36550,False,False,False,False,False,False,False,True,False,False,True,2015 Lexus IS 250 Sedan
3916,Lexus,IS 300,2016,gasoline,255,6,AUTOMATIC,AWD,4,Midsize,Sedan,26,19,454,39700,False,False,False,False,False,False,False,True,True,False,True,2016 Lexus IS 300 Sedan
3917,Lexus,IS 300,2017,gasoline,255,6,AUTOMATIC,AWD,4,Midsize,Sedan,26,19,454,40200,False,False,False,False,False,False,False,True,True,False,True,2017 Lexus IS 300 Sedan
3918,Lexus,IS 350 C,2013,gasoline,306,6,AUTOMATIC,RWD,2,Compact,Convertible,27,19,454,46890,False,False,False,False,False,False,False,True,True,False,True,2013 Lexus IS 350 C Convertible
3919,Lexus,IS 350 C,2014,gasoline,306,6,AUTOMATIC,RWD,2,Compact,Convertible,27,19,454,47140,False,False,False,False,False,False,False,True,True,False,True,2014 Lexus IS 350 C Convertible
3920,Lexus,IS 350 C,2015,gasoline,306,6,AUTOMATIC,RWD,2,Compact,Convertible,27,19,454,47640,False,False,False,False,False,False,False,True,True,False,True,2015 Lexus IS 350 C Convertible
3921,Lexus,IS 350,2014,gasoline,306,6,AUTOMATIC,RWD,4,Midsize,Sedan,28,19,454,39615,False,False,False,False,False,True,False,True,False,False,True,2014 Lexus IS 350 Sedan
3923,Lexus,IS 350,2015,gasoline,306,6,AUTOMATIC,RWD,4,Midsize,Sedan,28,19,454,40065,False,False,False,False,False,True,False,True,False,False,True,2015 Lexus IS 350 Sedan
3925,Lexus,IS 350,2016,gasoline,306,6,AUTOMATIC,AWD,4,Midsize,Sedan,26,19,454,43035,False,False,False,False,False,False,False,True,True,False,True,2016 Lexus IS 350 Sedan
3927,Lexus,IS F,2012,gasoline,416,8,AUTOMATIC,RWD,4,Midsize,Sedan,23,16,454,61300,False,False,False,True,False,True,False,True,False,False,True,2012 Lexus IS F Sedan
3928,Lexus,IS F,2013,gasoline,416,8,AUTOMATIC,RWD,4,Midsize,Sedan,23,16,454,61750,False,False,False,True,False,True,False,True,False,False,True,2013 Lexus IS F Sedan
3929,Lexus,IS F,2014,gasoline,416,8,AUTOMATIC,RWD,4,Midsize,Sedan,23,16,454,63600,False,False,False,True,False,True,False,True,False,False,True,2014 Lexus IS F Sedan
3930,Volkswagen,Jetta GLI,2013,gasoline,210,4,AUTOMATED_MANUAL,FWD,4,Midsize,Sedan,32,24,873,25270,False,False,False,False,False,False,False,False,True,True,False,2013 Volkswagen Jetta GLI Sedan
3931,Volkswagen,Jetta GLI,2013,gasoline,200,4,MANUAL,FWD,4,Midsize,Sedan,33,22,873,26195,False,False,False,False,False,False,False,False,True,True,False,2013 Volkswagen Jetta GLI Sedan
3954,Volkswagen,Jetta GLI,2014,gasoline,210,4,MANUAL,FWD,4,Midsize,Sedan,33,23,873,24535,False,False,False,False,False,False,False,False,True,True,False,2014 Volkswagen Jetta GLI Sedan
3974,Volkswagen,Jetta Hybrid,2013,gasoline,170,4,AUTOMATED_MANUAL,FWD,4,Midsize,Sedan,48,42,873,26990,False,False,False,False,False,False,True,False,False,True,False,2013 Volkswagen Jetta Hybrid Sedan
3978,Volkswagen,Jetta Hybrid,2014,gasoline,170,4,AUTOMATED_MANUAL,FWD,4,Midsize,Sedan,48,42,873,31895,False,False,False,False,False,False,True,False,False,True,False,2014 Volkswagen Jetta Hybrid Sedan
3982,Volkswagen,Jetta SportWagen,2012,gasoline,170,5,AUTOMATIC,FWD,4,Compact,Wagon,31,24,873,24210,True,False,False,False,False,False,False,False,False,True,False,2012 Volkswagen Jetta SportWagen Wagon
3984,Volkswagen,Jetta SportWagen,2012,diesel,140,4,MANUAL,FWD,4,Compact,Wagon,42,30,873,28120,False,False,False,False,False,False,False,False,False,True,False,2012 Volkswagen Jetta SportWagen Wagon
3996,Volkswagen,Jetta SportWagen,2013,gasoline,170,5,AUTOMATIC,FWD,4,Compact,Wagon,31,24,873,21695,True,False,False,False,False,False,False,False,False,True,False,2013 Volkswagen Jetta SportWagen Wagon
3998,Volkswagen,Jetta SportWagen,2013,diesel,140,4,AUTOMATED_MANUAL,FWD,4,Compact,Wagon,39,29,873,29495,False,False,False,False,False,False,False,False,False,True,False,2013 Volkswagen Jetta SportWagen Wagon
4010,Volkswagen,Jetta SportWagen,2014,gasoline,170,5,MANUAL,FWD,4,Compact,Wagon,33,23,873,20995,True,False,False,False,False,False,False,False,False,True,False,2014 Volkswagen Jetta SportWagen Wagon
4011,Volkswagen,Jetta SportWagen,2014,diesel,140,4,AUTOMATED_MANUAL,FWD,4,Compact,Wagon,39,29,873,27665,False,False,False,False,False,False,False,False,False,True,False,2014 Volkswagen Jetta SportWagen Wagon
4024,Volkswagen,Jetta,2015,gasoline,170,4,AUTOMATIC,FWD,4,Midsize,Sedan,37,25,873,22325,True,False,False,False,False,False,False,False,False,True,False,2015 Volkswagen Jetta Sedan
4025,Volkswagen,Jetta,2015,gasoline,210,4,MANUAL,FWD,4,Midsize,Sedan,33,23,873,29280,False,False,False,True,False,False,False,False,True,True,False,2015 Volkswagen Jetta Sedan
4028,Volkswagen,Jetta,2015,diesel,150,4,AUTOMATED_MANUAL,FWD,4,Midsize,Sedan,45,31,873,25175,False,False,False,False,False,False,False,False,False,True,False,2015 Volkswagen Jetta Sedan
4056,Volkswagen,Jetta,2016,gasoline,150,4,AUTOMATIC,FWD,4,Midsize,Sedan,39,28,873,22325,True,False,False,False,False,False,False,False,False,True,False,2016 Volkswagen Jetta Sedan
4058,Volkswagen,Jetta,2016,gasoline,210,4,MANUAL,FWD,4,Midsize,Sedan,33,23,873,29280,False,False,False,True,False,False,False,False,True,True,False,2016 Volkswagen Jetta Sedan
4070,Volkswagen,Jetta,2016,gasoline,170,4,AUTOMATED_MANUAL,FWD,4,Midsize,Sedan,48,42,873,31120,False,False,False,False,False,False,True,False,False,True,False,2016 Volkswagen Jetta Sedan
4078,Volkswagen,Jetta,2017,gasoline,210,4,AUTOMATED_MANUAL,FWD,4,Midsize,Sedan,33,24,873,28995,False,False,False,True,False,False,False,False,True,True,False,2017 Volkswagen Jetta Sedan
4079,Volkswagen,Jetta,2017,gasoline,150,4,AUTOMATIC,FWD,4,Midsize,Sedan,38,28,873,21995,True,False,False,False,False,False,False,False,False,True,False,2017 Volkswagen Jetta Sedan
4085,Dodge,Journey,2015,gasoline,283,6,AUTOMATIC,AWD,4,Midsize,SUV,24,16,1851,33295,False,True,False,False,False,False,False,False,False,False,True,2015 Dodge Journey SUV
4096,Dodge,Journey,2016,gasoline,173,4,AUTOMATIC,FWD,4,Midsize,SUV,26,19,1851,27395,False,True,False,False,False,False,False,False,False,False,True,2016 Dodge Journey SUV
4101,Dodge,Journey,2016,flex-fuel,283,6,AUTOMATIC,FWD,4,Midsize,SUV,25,17,1851,31795,False,True,False,False,False,False,False,False,False,False,True,2016 Dodge Journey SUV
4106,Dodge,Journey,2017,gasoline,173,4,AUTOMATIC,FWD,4,Midsize,SUV,25,19,1851,20995,False,True,False,False,False,False,False,False,False,False,True,2017 Dodge Journey SUV
4110,Dodge,Journey,2017,flex-fuel,283,6,AUTOMATIC,FWD,4,Midsize,SUV,25,17,1851,31795,False,True,False,False,False,False,False,False,False,False,True,2017 Dodge Journey SUV
4116,Nissan,Juke,2015,gasoline,188,4,AUTOMATIC,FWD,4,Compact,Hatchback,32,28,2009,25240,False,True,False,False,True,False,False,False,False,True,False,2015 Nissan Juke Hatchback
4117,Nissan,Juke,2015,gasoline,215,4,MANUAL,FWD,4,Compact,Hatchback,31,25,2009,28020,False,True,False,True,True,False,False,False,True,True,False,2015 Nissan Juke Hatchback
4126,Nissan,Juke,2016,gasoline,188,4,MANUAL,FWD,4,Compact,Hatchback,34,28,2009,24830,False,True,False,False,True,False,False,False,True,True,False,2016 Nissan Juke Hatchback
4136,Nissan,Juke,2017,gasoline,215,4,MANUAL,FWD,4,Compact,Hatchback,31,26,2009,28020,False,True,False,True,True,False,False,False,True,True,False,2017 Nissan Juke Hatchback
4138,Nissan,Juke,2017,gasoline,211,4,AUTOMATIC,AWD,4,Compact,Hatchback,29,25,2009,30020,False,True,False,True,True,False,False,False,True,True,False,2017 Nissan Juke Hatchback
4146,Infiniti,JX,2013,gasoline,265,6,AUTOMATIC,FWD,4,Large,SUV,24,18,190,41250,False,True,False,False,False,False,False,True,False,False,True,2013 Infiniti JX SUV
4148,Kia,K900,2015,gasoline,420,8,AUTOMATIC,RWD,4,Large,Sedan,23,15,1720,59900,False,False,False,False,False,True,False,True,False,False,True,2015 Kia K900 Sedan
4150,Kia,K900,2016,gasoline,311,6,AUTOMATIC,RWD,4,Large,Sedan,26,17,1720,49000,False,False,False,False,False,False,False,True,False,False,True,2016 Kia K900 Sedan
4153,Suzuki,Kizashi,2011,gasoline,180,4,AUTOMATIC,FWD,4,Midsize,Sedan,31,23,481,21049,True,False,False,False,False,False,False,False,False,True,False,2011 Suzuki Kizashi Sedan
4158,Suzuki,Kizashi,2011,gasoline,185,4,MANUAL,FWD,4,Midsize,Sedan,29,20,481,24849,True,False,False,False,False,False,False,False,False,False,True,2011 Suzuki Kizashi Sedan
4164,Suzuki,Kizashi,2012,gasoline,180,4,AUTOMATIC,FWD,4,Midsize,Sedan,30,23,481,23899,True,False,False,False,False,False,False,False,False,True,False,2012 Suzuki Kizashi Sedan
4171,Suzuki,Kizashi,2012,gasoline,185,4,MANUAL,FWD,4,Midsize,Sedan,31,21,481,18999,True,False,False,False,False,False,False,False,False,False,True,2012 Suzuki Kizashi Sedan
4179,Suzuki,Kizashi,2013,gasoline,180,4,AUTOMATIC,FWD,4,Midsize,Sedan,30,23,481,25799,True,False,False,False,False,False,False,False,False,True,False,2013 Suzuki Kizashi Sedan
4183,Suzuki,Kizashi,2013,gasoline,185,4,MANUAL,FWD,4,Midsize,Sedan,29,20,481,19999,True,False,False,False,False,False,False,False,False,False,True,2013 Suzuki Kizashi Sedan
4185,Buick,LaCrosse,2015,gasoline,182,4,AUTOMATIC,FWD,4,Large,Sedan,36,25,155,35725,False,False,False,False,False,False,True,False,False,True,False,2015 Buick LaCrosse Sedan
4186,Buick,LaCrosse,2015,flex-fuel,304,6,AUTOMATIC,FWD,4,Large,Sedan,28,18,155,31065,False,False,False,False,False,False,False,False,False,False,True,2015 Buick LaCrosse Sedan
4192,Buick,LaCrosse,2016,flex-fuel,304,6,AUTOMATIC,FWD,4,Large,Sedan,28,18,155,34065,False,False,False,False,False,False,False,False,True,False,True,2016 Buick LaCrosse Sedan
4200,Buick,LaCrosse,2017,gasoline,310,6,AUTOMATIC,FWD,4,Large,Sedan,31,21,155,36065,False,False,False,False,False,False,False,False,True,False,True,2017 Buick LaCrosse Sedan
4205,Mitsubishi,Lancer Evolution,2013,gasoline,291,4,AUTOMATED_MANUAL,AWD,4,Compact,Sedan,22,17,436,37895,False,False,False,True,False,False,False,False,True,False,True,2013 Mitsubishi Lancer Evolution Sedan
4207,Mitsubishi,Lancer Evolution,2014,gasoline,291,4,AUTOMATED_MANUAL,AWD,4,Compact,Sedan,22,17,436,38195,False,False,False,True,False,False,False,False,True,False,True,2014 Mitsubishi Lancer Evolution Sedan
4209,Mitsubishi,Lancer Evolution,2015,gasoline,303,4,MANUAL,AWD,4,Compact,Sedan,23,17,436,37995,False,False,False,True,False,True,False,False,False,False,True,2015 Mitsubishi Lancer Evolution Sedan
4211,Mitsubishi,Lancer Evolution,2015,gasoline,291,4,AUTOMATED_MANUAL,AWD,4,Compact,Sedan,22,17,436,38995,False,False,False,True,False,False,False,False,True,False,True,2015 Mitsubishi Lancer Evolution Sedan
4212,Mitsubishi,Lancer Sportback,2012,gasoline,168,4,AUTOMATIC,FWD,4,Compact,Hatchback,29,22,436,21345,False,False,False,False,True,False,False,False,False,True,False,2012 Mitsubishi Lancer Sportback Hatchback
4214,Mitsubishi,Lancer Sportback,2013,gasoline,148,4,AUTOMATIC,FWD,4,Compact,Hatchback,32,24,436,18495,False,False,False,False,True,False,False,False,False,True,False,2013 Mitsubishi Lancer Sportback Hatchback
4216,Mitsubishi,Lancer Sportback,2014,gasoline,168,4,AUTOMATIC,FWD,4,Compact,Hatchback,29,22,436,21945,False,False,False,False,True,False,False,False,False,True,False,2014 Mitsubishi Lancer Sportback Hatchback
4218,Mitsubishi,Lancer,2015,gasoline,148,4,MANUAL,FWD,4,Compact,Sedan,34,25,436,17395,True,False,False,False,False,False,False,False,False,True,False,2015 Mitsubishi Lancer Sedan
4219,Mitsubishi,Lancer,2015,gasoline,237,4,AUTOMATED_MANUAL,AWD,4,Compact,Sedan,25,18,436,29495,False,False,False,False,False,False,False,False,True,False,True,2015 Mitsubishi Lancer Sedan
4221,Mitsubishi,Lancer,2015,gasoline,168,4,AUTOMATIC,FWD,4,Compact,Sedan,30,23,436,21595,True,False,False,False,False,False,False,False,False,True,False,2015 Mitsubishi Lancer Sedan
4224,Mitsubishi,Lancer,2016,gasoline,148,4,AUTOMATIC,FWD,4,Compact,Sedan,35,27,436,18595,True,False,False,False,False,False,False,False,False,True,False,2016 Mitsubishi Lancer Sedan
4231,Mitsubishi,Lancer,2017,gasoline,168,4,AUTOMATIC,AWD,4,Compact,Sedan,30,23,436,20295,True,False,False,False,False,False,False,False,False,True,False,2017 Mitsubishi Lancer Sedan
4234,Mitsubishi,Lancer,2017,gasoline,148,4,MANUAL,FWD,4,Compact,Sedan,33,24,436,17795,True,False,False,False,False,False,False,False,False,True,False,2017 Mitsubishi Lancer Sedan
4236,Toyota,Land Cruiser,2015,gasoline,381,8,AUTOMATIC,4WD,4,Midsize,SUV,18,13,2031,80155,False,False,False,False,False,False,False,True,False,False,True,2015 Toyota Land Cruiser SUV
4237,Toyota,Land Cruiser,2016,gasoline,381,8,AUTOMATIC,4WD,4,Midsize,SUV,18,13,2031,83825,False,False,False,False,False,False,False,True,False,False,True,2016 Toyota Land Cruiser SUV
4238,Toyota,Land Cruiser,2017,gasoline,381,8,AUTOMATIC,4WD,4,Midsize,SUV,18,13,2031,84325,False,False,False,False,False,False,False,True,False,False,True,2017 Toyota Land Cruiser SUV
4239,Maybach,Landaulet,2011,gasoline,620,12,AUTOMATIC,RWD,4,Large,Convertible,16,10,67,1380000,False,False,True,False,False,True,False,True,False,False,True,2011 Maybach Landaulet Convertible
4240,Maybach,Landaulet,2012,gasoline,620,12,AUTOMATIC,RWD,4,Large,Convertible,16,10,67,1382750,False,False,True,False,False,False,False,True,True,False,True,2012 Maybach Landaulet Convertible
4241,Nissan,Leaf,2014,electric,218,0,DIRECT_DRIVE,FWD,4,Compact,Hatchback,101,126,2009,35020,False,False,False,False,True,False,False,False,False,True,False,2014 Nissan Leaf Hatchback
4244,Nissan,Leaf,2015,electric,218,0,DIRECT_DRIVE,FWD,4,Compact,Hatchback,101,126,2009,32100,False,False,False,False,True,False,False,False,False,True,False,2015 Nissan Leaf Hatchback
4248,Nissan,Leaf,2016,electric,218,0,DIRECT_DRIVE,FWD,4,Compact,Hatchback,101,126,2009,29010,False,False,False,False,True,False,False,False,False,True,False,2016 Nissan Leaf Hatchback
4251,Subaru,Legacy,2015,gasoline,175,4,AUTOMATIC,AWD,4,Midsize,Sedan,36,26,640,26495,True,False,False,False,False,False,False,False,False,True,False,2015 Subaru Legacy Sedan
4258,Subaru,Legacy,2016,gasoline,175,4,AUTOMATIC,AWD,4,Midsize,Sedan,36,26,640,21745,True,False,False,False,False,False,False,False,False,True,False,2016 Subaru Legacy Sedan
4265,Subaru,Legacy,2017,gasoline,256,6,AUTOMATIC,AWD,4,Midsize,Sedan,28,20,640,31640,False,False,False,False,False,False,False,False,True,False,True,2017 Subaru Legacy Sedan
4270,Maserati,Levante,2017,gasoline,424,6,AUTOMATIC,AWD,4,Large,SUV,19,14,238,83000,False,True,True,False,False,True,False,True,False,False,True,2017 Maserati Levante SUV
4272,Lexus,LFA,2012,gasoline,552,10,AUTOMATED_MANUAL,RWD,2,Compact,Coupe,16,11,454,375000,False,False,True,False,False,True,False,True,False,False,True,2012 Lexus LFA Coupe
4273,Land Rover,LR2,2013,gasoline,240,4,AUTOMATIC,AWD,4,Compact,SUV,24,17,258,36400,False,True,False,False,False,False,False,True,False,False,True,2013 Land Rover LR2 SUV
4276,Land Rover,LR2,2014,gasoline,240,4,AUTOMATIC,AWD,4,Compact,SUV,24,17,258,36600,False,True,False,False,False,False,False,True,False,False,True,2014 Land Rover LR2 SUV
4279,Land Rover,LR2,2015,gasoline,240,4,AUTOMATIC,AWD,4,Compact,SUV,24,17,258,36600,False,True,False,False,False,False,False,True,False,False,True,2015 Land Rover LR2 SUV
4282,Land Rover,LR4,2014,gasoline,340,6,AUTOMATIC,4WD,4,Midsize,SUV,19,14,258,49700,False,False,False,False,False,False,False,True,False,False,True,2014 Land Rover LR4 SUV
4286,Land Rover,LR4,2015,gasoline,340,6,AUTOMATIC,4WD,4,Midsize,SUV,19,14,258,60600,False,False,False,False,False,False,False,True,False,False,True,2015 Land Rover LR4 SUV
4289,Land Rover,LR4,2016,gasoline,340,6,AUTOMATIC,4WD,4,Midsize,SUV,19,15,258,50400,False,False,False,False,False,False,False,True,False,False,True,2016 Land Rover LR4 SUV
4292,Lexus,LS 460,2015,gasoline,360,8,AUTOMATIC,AWD,4,Large,Sedan,23,16,454,82305,False,False,False,False,False,False,False,True,True,False,True,2015 Lexus LS 460 Sedan
4298,Lexus,LS 460,2016,gasoline,360,8,AUTOMATIC,AWD,4,Large,Sedan,23,16,454,75465,False,False,False,False,False,False,False,True,True,False,True,2016 Lexus LS 460 Sedan
4302,Lexus,LS 460,2017,gasoline,359,8,AUTOMATIC,AWD,4,Large,Sedan,23,16,454,82305,False,False,False,False,False,False,False,True,True,False,True,2017 Lexus LS 460 Sedan
4306,Lexus,LS 600h L,2014,gasoline,438,8,AUTOMATIC,AWD,4,Large,Sedan,23,19,454,120060,False,False,False,False,False,True,True,True,False,False,True,2014 Lexus LS 600h L Sedan
4307,Lexus,LS 600h L,2015,gasoline,438,8,AUTOMATIC,AWD,4,Large,Sedan,23,19,454,120440,False,False,False,False,False,True,True,True,False,False,True,2015 Lexus LS 600h L Sedan
4308,Lexus,LS 600h L,2016,gasoline,438,8,AUTOMATIC,AWD,4,Large,Sedan,23,19,454,120440,False,False,False,False,False,True,True,True,False,False,True,2016 Lexus LS 600h L Sedan
4309,Buick,Lucerne,2010,flex-fuel,227,6,AUTOMATIC,FWD,4,Large,Sedan,26,17,155,35730,False,False,False,False,False,False,False,False,False,False,True,2010 Buick Lucerne Sedan
4314,Buick,Lucerne,2010,gasoline,292,8,AUTOMATIC,FWD,4,Large,Sedan,22,15,155,42515,False,False,False,False,False,False,False,False,True,False,True,2010 Buick Lucerne Sedan
4318,Buick,Lucerne,2011,flex-fuel,227,6,AUTOMATIC,FWD,4,Large,Sedan,27,17,155,29730,False,False,False,False,False,False,False,False,False,False,True,2011 Buick Lucerne Sedan
4321,Buick,Lucerne,2011,gasoline,292,8,AUTOMATIC,FWD,4,Large,Sedan,23,15,155,44460,False,False,False,False,False,False,False,False,True,False,True,2011 Buick Lucerne Sedan
4322,Lexus,LX 570,2015,gasoline,383,8,AUTOMATIC,4WD,4,Midsize,SUV,17,12,454,83180,False,False,False,False,False,False,False,True,False,False,True,2015 Lexus LX 570 SUV
4323,Lexus,LX 570,2016,gasoline,383,8,AUTOMATIC,4WD,4,Large,SUV,18,13,454,88880,False,False,False,False,False,False,False,True,False,False,True,2016 Lexus LX 570 SUV
4324,Lexus,LX 570,2017,gasoline,383,8,AUTOMATIC,4WD,4,Large,SUV,18,13,454,89380,False,False,False,False,False,False,False,True,False,False,True,2017 Lexus LX 570 SUV
4325,Mercedes-Benz,M-Class,2013,diesel,240,6,AUTOMATIC,AWD,4,Midsize,SUV,28,20,617,51270,False,True,False,False,False,False,False,True,False,False,True,2013 Mercedes-Benz M-Class SUV
4326,Mercedes-Benz,M-Class,2013,gasoline,518,8,AUTOMATIC,AWD,4,Midsize,SUV,17,13,617,96100,False,True,False,True,False,True,False,True,False,False,True,2013 Mercedes-Benz M-Class SUV
4330,Mercedes-Benz,M-Class,2014,gasoline,518,8,AUTOMATIC,AWD,4,Midsize,SUV,17,13,617,97250,False,True,False,True,False,True,False,True,False,False,True,2014 Mercedes-Benz M-Class SUV
4331,Mercedes-Benz,M-Class,2014,diesel,240,6,AUTOMATIC,AWD,4,Midsize,SUV,28,20,617,51790,False,True,False,False,False,False,False,True,False,False,True,2014 Mercedes-Benz M-Class SUV
4335,Mercedes-Benz,M-Class,2015,gasoline,329,6,AUTOMATIC,AWD,4,Midsize,SUV,22,18,617,62900,False,True,False,False,False,False,False,True,True,False,True,2015 Mercedes-Benz M-Class SUV
4337,Mercedes-Benz,M-Class,2015,diesel,240,4,AUTOMATIC,AWD,4,Midsize,SUV,29,22,617,49800,False,True,False,False,False,False,False,True,False,True,False,2015 Mercedes-Benz M-Class SUV
4340,BMW,M2,2016,gasoline,365,6,MANUAL,RWD,2,Compact,Coupe,26,18,3916,51700,False,False,False,True,False,True,False,True,False,False,True,2016 BMW M2 Coupe
4341,BMW,M2,2017,gasoline,365,6,MANUAL,RWD,2,Compact,Coupe,26,18,3916,51700,False,False,False,True,False,True,False,True,False,False,True,2017 BMW M2 Coupe
4342,Infiniti,M35,2010,gasoline,303,6,AUTOMATIC,RWD,4,Large,Sedan,25,17,190,45800,False,False,False,False,False,False,False,True,True,False,True,2010 Infiniti M35 Sedan
4344,Infiniti,M37,2011,gasoline,330,6,AUTOMATIC,AWD,4,Large,Sedan,24,17,190,49200,False,False,False,False,False,False,False,True,False,False,True,2011 Infiniti M37 Sedan
4346,BMW,M3,2015,gasoline,425,6,MANUAL,RWD,4,Midsize,Sedan,26,17,3916,62000,False,False,False,True,False,True,False,True,False,False,True,2015 BMW M3 Sedan
4347,BMW,M3,2016,gasoline,425,6,MANUAL,RWD,4,Midsize,Sedan,26,17,3916,63500,False,False,False,True,False,True,False,True,False,False,True,2016 BMW M3 Sedan
4348,BMW,M3,2017,gasoline,425,6,MANUAL,RWD,4,Midsize,Sedan,26,17,3916,64000,False,False,False,True,False,True,False,True,False,False,True,2017 BMW M3 Sedan
4349,BMW,M4 GTS,2016,gasoline,493,6,AUTOMATED_MANUAL,RWD,2,Midsize,Coupe,23,16,3916,133205,False,False,False,True,False,True,False,True,False,False,True,2016 BMW M4 GTS Coupe
4350,Infiniti,M45,2010,gasoline,325,8,AUTOMATIC,AWD,4,Large,Sedan,20,14,190,54650,False,False,False,False,False,False,False,True,True,False,True,2010 Infiniti M45 Sedan
4352,BMW,M4,2015,gasoline,425,6,MANUAL,RWD,2,Midsize,Coupe,26,17,3916,64200,False,False,False,True,False,True,False,True,False,False,True,2015 BMW M4 Coupe
4353,BMW,M4,2015,gasoline,425,6,MANUAL,RWD,2,Midsize,Convertible,26,17,3916,72500,False,False,False,True,False,True,False,True,False,False,True,2015 BMW M4 Convertible
4354,BMW,M4,2016,gasoline,425,6,MANUAL,RWD,2,Midsize,Convertible,26,17,3916,74200,False,False,False,True,False,True,False,True,False,False,True,2016 BMW M4 Convertible
4355,BMW,M4,2016,gasoline,425,6,MANUAL,RWD,2,Midsize,Coupe,26,17,3916,65700,False,False,False,True,False,True,False,True,False,False,True,2016 BMW M4 Coupe
4356,BMW,M4,2017,gasoline,425,6,MANUAL,RWD,2,Midsize,Convertible,26,17,3916,74700,False,False,False,True,False,True,False,True,False,False,True,2017 BMW M4 Convertible
4357,BMW,M4,2017,gasoline,425,6,MANUAL,RWD,2,Midsize,Coupe,26,17,3916,66200,False,False,False,True,False,True,False,True,False,False,True,2017 BMW M4 Coupe
4358,Infiniti,M56,2011,gasoline,420,8,AUTOMATIC,AWD,4,Large,Sedan,23,16,190,60950,False,False,False,False,False,False,False,True,False,False,True,2011 Infiniti M56 Sedan
4360,BMW,M5,2014,gasoline,552,8,AUTOMATED_MANUAL,RWD,4,Large,Sedan,20,14,3916,92900,False,False,False,True,False,True,False,True,False,False,True,2014 BMW M5 Sedan
4361,BMW,M5,2015,gasoline,560,8,AUTOMATED_MANUAL,RWD,4,Large,Sedan,20,14,3916,93600,False,False,False,True,False,True,False,True,False,False,True,2015 BMW M5 Sedan
4362,BMW,M5,2016,gasoline,560,8,AUTOMATED_MANUAL,RWD,4,Large,Sedan,20,14,3916,94100,False,False,False,True,False,True,False,True,False,False,True,2016 BMW M5 Sedan
4363,BMW,M6 Gran Coupe,2015,gasoline,560,8,AUTOMATED_MANUAL,RWD,4,Large,Sedan,20,14,3916,115700,False,False,False,True,False,True,False,True,False,False,True,2015 BMW M6 Gran Coupe Sedan
4364,BMW,M6 Gran Coupe,2016,gasoline,552,8,AUTOMATED_MANUAL,RWD,4,Large,Sedan,20,14,3916,117200,False,False,False,True,False,True,False,True,False,False,True,2016 BMW M6 Gran Coupe Sedan
4365,BMW,M6 Gran Coupe,2017,gasoline,560,8,AUTOMATED_MANUAL,RWD,4,Large,Sedan,20,14,3916,117500,False,False,False,True,False,True,False,True,False,False,True,2017 BMW M6 Gran Coupe Sedan
4366,BMW,M6,2015,gasoline,560,8,AUTOMATED_MANUAL,RWD,2,Midsize,Convertible,20,14,3916,118200,False,False,False,True,False,True,False,True,False,False,True,2015 BMW M6 Convertible
4367,BMW,M6,2015,gasoline,560,8,AUTOMATED_MANUAL,RWD,2,Midsize,Coupe,20,14,3916,111900,False,False,False,True,False,True,False,True,False,False,True,2015 BMW M6 Coupe
4368,BMW,M6,2016,gasoline,552,8,AUTOMATED_MANUAL,RWD,2,Midsize,Convertible,20,14,3916,119700,False,False,False,True,False,True,False,True,False,False,True,2016 BMW M6 Convertible
4369,BMW,M6,2016,gasoline,552,8,AUTOMATED_MANUAL,RWD,2,Midsize,Coupe,20,14,3916,113400,False,False,False,True,False,True,False,True,False,False,True,2016 BMW M6 Coupe
4370,BMW,M6,2017,gasoline,560,8,AUTOMATED_MANUAL,RWD,2,Midsize,Coupe,20,14,3916,113700,False,False,False,True,False,True,False,True,False,False,True,2017 BMW M6 Coupe
4371,BMW,M6,2017,gasoline,560,8,AUTOMATED_MANUAL,RWD,2,Midsize,Convertible,22,15,3916,120000,False,False,False,True,False,True,False,True,False,False,True,2017 BMW M6 Convertible
4372,Porsche,Macan,2015,gasoline,400,6,AUTOMATED_MANUAL,AWD,4,Midsize,SUV,23,17,1715,72300,False,True,False,False,False,False,False,True,True,False,True,2015 Porsche Macan SUV
4374,Porsche,Macan,2016,gasoline,340,6,AUTOMATED_MANUAL,AWD,4,Midsize,SUV,23,17,1715,52600,False,True,False,False,False,False,False,True,True,False,True,2016 Porsche Macan SUV
4376,Porsche,Macan,2017,gasoline,360,6,AUTOMATED_MANUAL,AWD,4,Midsize,SUV,23,17,1715,67200,False,True,False,False,False,True,False,True,False,False,True,2017 Porsche Macan SUV
